845	None	0
2731	Clap	2
2110	None	0
8943	Clap	2
17971	Clap	2
5450	None	0
12654	Clap	2
7513	Clap	2
5461	Clap	2
16300	Clap	2
14426	Clap	2
2970	Clap	2
10275	None	0
1186	Clap	2
18435	Clap	2
17759	Clap/Push	3
1029	Clap/Push	3
17435	Clap	2
2768	Clap	2
9267	Clap	2
12026	Clap/Push	3
11551	None	0
17549	Clap/Push	3
4440	None	0
13443	Clap	2
10647	Clap/Push	3
13277	Clap	2
9488	Clap	2
13681	Clap	2
17354	Clap	2
5062	Clap	2
12406	Clap	2
10335	Clap	2
2266	Clap	2
4567	Clap	2
18605	Clap	2
19565	Clap/Push	3
13860	Clap/Push	3
1337	Clap/Push	3
846	Clap	2
558	None	0
10197	Clap	2
8876	Clap/Push	3
4660	Clap	2
13960	Clap	2
1058	None	0
900	Clap	2
1194	Clap	2
5063	Clap	2
2699	Clap	2
17401	None	0
7244	None	0
10149	Clap	2
9813	Clap	2
2956	Clap	2
7705	None	0
3725	Clap	2
5111	None	0
19291	Clap	2
19598	Clap	2
18163	Clap	2
2598	Clap	2
16154	Clap	2
6263	Clap	2
18855	None	0
4545	None	0
5551	Push	1
3056	Clap	2
1322	Clap	2
11415	None	0
15346	Clap	2
2770	None	0
9070	Clap	2
14992	Clap	2
5526	Clap	2
16313	Clap	2
1973	Clap	2
18396	Clap/Push	3
8929	Clap	2
9459	Clap	2
3462	Clap	2
18990	Clap	2
18712	None	0
7479	Clap	2
12688	Clap	2
6086	Clap	2
10360	Clap/Push	3
7840	Push	1
4842	None	0
9465	Clap	2
10710	Push	1
16832	Clap	2
2240	Push	1
19948	Clap	2
7691	Clap	2
3764	Clap	2
5504	None	0
18377	Clap	2
3791	Clap	2
15789	Clap	2
159	Clap	2
15744	None	0
12767	Clap	2
11544	None	0
11025	Push	1
16713	Clap	2
8580	None	0
3099	Clap	2
8055	None	0
1250	None	0
2299	Clap	2
10377	Clap	2
11916	Clap	2
1398	Clap	2
7598	Clap	2
14840	Push	1
11321	Clap	2
18368	Clap/Push	3
9434	Clap	2
8183	Clap/Push	3
19435	Clap	2
12111	None	0
5833	Clap	2
4500	None	0
1917	Clap	2
13661	Clap	2
2617	Clap	2
12106	Clap	2
412	None	0
17122	Push	1
123	Clap	2
17544	None	0
8029	Clap/Push	3
12173	Clap/Push	3
7017	None	0
18380	Clap	2
12499	Clap	2
8396	Clap	2
15791	Clap	2
12670	Clap/Push	3
3734	Clap	2
15568	Clap/Push	3
2198	Clap/Push	3
2241	None	0
10481	None	0
5048	None	0
3857	Clap/Push	3
13923	Clap/Push	3
2039	Clap	2
15111	None	0
19655	Clap	2
15814	None	0
12369	Clap/Push	3
10065	Clap	2
17732	Clap	2
6227	Clap	2
2574	None	0
17285	None	0
10422	None	0
3475	Clap	2
2220	None	0
6911	Clap	2
18136	Clap	2
10697	Clap	2
7453	Clap	2
5760	Clap	2
17613	Clap	2
6307	Clap/Push	3
19706	Clap	2
14932	Clap	2
14667	Clap	2
16602	Clap	2
14050	None	0
17029	Clap	2
16093	Clap/Push	3
7758	None	0
12013	Clap	2
14771	None	0
15241	None	0
14328	Clap	2
19134	Clap	2
941	Clap	2
7786	Clap	2
7907	Clap	2
13116	Clap	2
14478	None	0
19828	Clap	2
14297	Clap	2
13287	Clap	2
13202	Clap/Push	3
9157	Clap	2
9679	Clap	2
10929	Clap	2
7100	None	0
13560	Clap	2
14712	None	0
10736	Clap	2
16354	Clap	2
16906	Clap	2
7815	None	0
11689	Clap	2
17052	Push	1
4874	None	0
13281	Clap	2
12259	Clap	2
2930	Clap	2
11066	Clap	2
12750	None	0
14842	None	0
13658	Clap	2
7885	None	0
10403	Clap	2
17986	Clap	2
12339	Clap	2
1823	Clap	2
1702	None	0
8612	Clap	2
19296	Clap	2
7824	None	0
15675	Clap	2
5534	Clap	2
12690	Clap	2
6585	Clap	2
16719	Clap	2
12019	Clap/Push	3
15237	Clap	2
1927	Clap	2
15866	Clap	2
6568	Clap	2
3595	Clap	2
3253	Clap	2
4846	Clap	2
10384	Clap	2
8495	Clap	2
7044	None	0
1961	Clap	2
19978	Clap/Push	3
7445	None	0
14160	Clap	2
10163	Clap	2
15799	Clap/Push	3
3160	Clap	2
9914	Clap	2
3229	Clap	2
17534	Clap	2
8347	Clap	2
5639	Clap	2
4815	None	0
15018	None	0
2525	None	0
748	None	0
7486	Clap	2
1972	Clap	2
19485	Clap	2
15168	Clap	2
2945	Clap	2
1070	None	0
5219	Clap	2
576	Clap	2
3885	Clap/Push	3
469	Clap/Push	3
18624	Clap	2
6020	Clap/Push	3
17789	Clap	2
11651	Clap	2
19983	Clap	2
17318	Clap/Push	3
1863	Clap	2
7125	None	0
16531	Clap	2
6429	Clap	2
6924	Clap	2
9969	Clap	2
11375	Clap/Push	3
18518	None	0
10459	Clap	2
3832	Clap	2
9875	Clap	2
1770	None	0
12962	Clap	2
15368	Clap	2
19334	Clap/Push	3
2249	Clap	2
11534	Clap	2
14472	None	0
6314	Clap/Push	3
16018	Clap	2
19055	Clap	2
75	None	0
4998	Clap/Push	3
19235	Clap	2
19750	Clap	2
3634	Clap	2
19592	Clap	2
10486	Clap/Push	3
4530	Clap	2
5994	Clap	2
16195	Clap	2
2406	Clap	2
17862	Clap	2
9354	Clap	2
18729	Clap	2
1143	Clap	2
4760	Clap/Push	3
6736	Clap	2
19624	Clap	2
3359	Clap	2
17622	Clap	2
11598	Clap	2
14939	Clap	2
8132	Clap	2
16728	Clap	2
3692	Clap	2
6910	Clap	2
12861	Clap	2
8603	Clap/Push	3
7587	None	0
16030	Clap/Push	3
1011	None	0
14373	Clap	2
17942	Clap	2
4263	Clap/Push	3
13464	Clap	2
11861	Clap	2
15102	None	0
18657	Clap	2
16217	Clap	2
3591	Clap/Push	3
3978	Clap	2
7995	Clap	2
17107	None	0
6352	Clap	2
10668	Clap/Push	3
16319	Clap	2
3186	Clap	2
427	Push	1
7528	None	0
12619	Clap	2
9264	Clap	2
13355	Clap	2
2312	Clap	2
2695	Clap/Push	3
19539	Clap	2
15276	Clap	2
10525	None	0
12960	Clap	2
10968	Clap	2
12605	Clap	2
10333	Clap	2
7920	Clap	2
2522	None	0
8083	Clap	2
3750	Clap	2
18494	Clap/Push	3
16187	Clap	2
1110	None	0
12637	Clap	2
6123	Clap	2
16290	Clap	2
10023	Clap	2
11448	None	0
7709	Clap	2
15839	Clap	2
18992	Clap	2
17591	Clap/Push	3
19645	Clap	2
7719	Clap	2
11136	Clap	2
2467	Clap	2
11162	Clap	2
9660	Clap/Push	3
6642	Clap	2
4657	Clap	2
2678	Clap	2
15978	Clap	2
13956	Clap	2
15526	Clap/Push	3
14967	Clap	2
6786	Clap	2
18287	None	0
18524	None	0
7067	Clap	2
17982	Clap	2
15227	None	0
11578	Push	1
10827	None	0
5892	Clap	2
2370	Clap	2
2175	None	0
12358	Clap	2
629	Clap	2
13887	Clap	2
15391	Clap	2
5391	Clap	2
13853	Clap/Push	3
4599	Clap/Push	3
6599	Clap	2
7494	Clap	2
12787	None	0
17814	None	0
3636	Clap	2
11374	Clap	2
14701	None	0
7318	Clap	2
6591	Clap	2
13516	Clap	2
10179	Clap	2
17817	None	0
14060	Clap	2
8423	Clap	2
3415	Clap	2
1157	None	0
5166	Clap/Push	3
12335	Clap	2
9883	Clap	2
17727	None	0
15128	None	0
952	Clap/Push	3
8442	Push	1
12782	Push	1
8635	Clap	2
16659	Clap	2
10673	Clap	2
15627	Clap	2
5052	None	0
8630	Clap	2
2287	None	0
17768	Clap	2
10004	None	0
9714	Clap	2
17866	Clap	2
15654	Clap	2
14119	Clap/Push	3
2459	Clap	2
16594	Clap	2
4213	Clap	2
14820	None	0
18817	None	0
8099	Clap/Push	3
14309	Clap	2
6805	Clap	2
527	None	0
2069	Clap	2
4317	Clap	2
14764	Clap	2
11500	None	0
17799	Clap	2
19212	Clap	2
12911	Clap	2
7862	Clap	2
472	None	0
13601	Clap/Push	3
4620	Clap/Push	3
6624	Clap	2
8251	None	0
2550	None	0
2756	Clap	2
7940	Clap	2
2981	Clap	2
4011	Push	1
18756	Clap	2
2714	None	0
15721	None	0
18481	None	0
6271	Clap	2
9651	Clap	2
2288	None	0
14622	Clap	2
11447	None	0
15828	None	0
14799	Clap	2
12765	Clap	2
1134	Clap/Push	3
